file,time,type,N,threads,procs,opt
omp-for_O2_N8000_run3.out,6.41,omp-for,8000,,,O2
omp-for_O3_N4000_run1.out,1.79,omp-for,4000,,,O3
mpi_O2_N4000_run2.out,1.0,mpi,4000,,,O2
omp-task_O3_N16000_run3.out,53.32,omp-task,16000,,,O3
omp-for_O2_N4000_run1.out,2.28,omp-for,4000,,,O2
omp-for_O3_N8000_run3.out,5.89,omp-for,8000,,,O3
mpi_O2_N12000_run2.out,12.0,mpi,12000,,,O2
omp-for_O3_N12000_run1.out,9.3,omp-for,12000,,,O3
mpi_O3_N4000_run2.out,1.0,mpi,4000,,,O3
mpi_O2_N8000_run1.out,6.0,mpi,8000,,,O2
mpi_O3_N4000_run3.out,2.0,mpi,4000,,,O3
mpi_O2_N12000_run3.out,10.0,mpi,12000,,,O2
omp-for_O3_N8000_run2.out,4.14,omp-for,8000,,,O3
omp-task_O3_N16000_run2.out,53.55,omp-task,16000,,,O3
omp-for_O2_N4000_run2.out,1.44,omp-for,4000,,,O2
omp-for_O3_N12000_run2.out,8.76,omp-for,12000,,,O3
mpi_O2_N12000_run1.out,12.0,mpi,12000,,,O2
mpi_O3_N4000_run1.out,1.0,mpi,4000,,,O3
mpi_O2_N8000_run3.out,6.0,mpi,8000,,,O2
mpi_O2_N8000_run2.out,6.0,mpi,8000,,,O2
omp-for_O3_N12000_run3.out,9.87,omp-for,12000,,,O3
omp-for_O3_N8000_run1.out,5.18,omp-for,8000,,,O3
omp-for_O2_N4000_run3.out,1.19,omp-for,4000,,,O2
omp-task_O3_N16000_run1.out,32.49,omp-task,16000,,,O3
mpi_O3_N12000_run2.out,43.0,mpi,12000,,,O3
omp-for_O2_N12000_run1.out,14.66,omp-for,12000,,,O2
mpi_O1_N4000_run1.out,3.0,mpi,4000,,,O1
seq_O1_N12000_run2.out,9.23,seq,12000,,,O1
omp-task_O2_N16000_run3.out,763.12,omp-task,16000,,,O2
omp-task_O2_N16000_run2.out,61.63,omp-task,16000,,,O2
seq_O1_N12000_run3.out,11.05,seq,12000,,,O1
omp-for_O1_N8000_run1.out,6.34,omp-for,8000,,,O1
mpi_O3_N12000_run3.out,9.0,mpi,12000,,,O3
omp-for_O2_N12000_run2.out,15.03,omp-for,12000,,,O2
mpi_O3_N12000_run1.out,6.0,mpi,12000,,,O3
mpi_O1_N4000_run2.out,2.0,mpi,4000,,,O1
omp-for_O1_N8000_run3.out,9.6,omp-for,8000,,,O1
seq_O1_N12000_run1.out,9.14,seq,12000,,,O1
omp-task_O2_N16000_run1.out,52.69,omp-task,16000,,,O2
omp-for_O1_N8000_run2.out,5.97,omp-for,8000,,,O1
mpi_O1_N4000_run3.out,2.0,mpi,4000,,,O1
omp-for_O2_N12000_run3.out,15.02,omp-for,12000,,,O2
omp-for_O1_N16000_run1.out,27.92,omp-for,16000,,,O1
mpi_O1_N8000_run1.out,6.0,mpi,8000,,,O1
omp-task_O1_N12000_run3.out,18.57,omp-task,12000,,,O1
seq_O2_N16000_run2.out,23.64,seq,16000,,,O2
seq_O2_N16000_run3.out,22.04,seq,16000,,,O2
omp-task_O1_N12000_run2.out,207.02,omp-task,12000,,,O1
omp-for_O1_N4000_run1.out,21.27,omp-for,4000,,,O1
omp-for_O1_N4000_run3.out,21.29,omp-for,4000,,,O1
omp-for_O1_N16000_run2.out,27.65,omp-for,16000,,,O1
mpi_O1_N8000_run2.out,6.0,mpi,8000,,,O1
seq_O2_N16000_run1.out,20.65,seq,16000,,,O2
omp-task_O1_N12000_run1.out,22.34,omp-task,12000,,,O1
mpi_O1_N8000_run3.out,5.0,mpi,8000,,,O1
omp-for_O1_N16000_run3.out,28.19,omp-for,16000,,,O1
omp-for_O1_N4000_run2.out,21.61,omp-for,4000,,,O1
